Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased Estimate,US East (N. Virginia),,Amazon EC2,0,3434.88,41218.56,USD,"Operating system (Linux), Quantity (12), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (c5a.4xlarge)"
Increased Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3366.96,40403.52,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (4), Instance type (db.m4.4xlarge), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (1000 GB)"
Increased Estimate,US East (N. Virginia),,S3 Standard,0,6878.5,82542,USD,S3 Standard storage (5000 GB per month)
Increased Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
Increased Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,77.85,934.2,USD,Number of NAT Gateways (1)
Increased Estimate,US East (N. Virginia),,Application Load Balancer,0,2368.85,28426.2,USD,Number of Application Load Balancers (2)
Increased Estimate,US East (N. Virginia),,Amazon CloudWatch,0,3681.25,44175,USD,"Number of Metrics (includes detailed and custom metrics) (10000), GetMetricData: Number of metrics requested (10000), Number of other API requests (10000), GetMetricWidgetImage: Number of metrics requested (10000), Standard Logs: Data Ingested (300 GB), Logs Delivered to S3: Data Ingested (100 GB), Number of Dashboards (100), Number of Standard Resolution Alarm Metrics (2000), Total number of events for DynamoDB (150 million events per month)"
,,,,Total,19808.29,237699.48,,
,,,,,,,,
"Configurations for 500000 users with increased budget:
1. Increased the db storage from 100GB to 1000GB to accomodate more features such as ads, analytics etc.
2. Increased the db read replicas from 1 to 3
3. Updated the storage on s3 from 500GB to 5000GB
4. Increased the NAT Gateway data processing from 100GB to 1000GB
5. Increased the cloudwatch metrics to be collected to 10000",,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
